,ru,en
S_BULL_COMMISSION,"Ну да, конечно! Кому нужна голова быка на балконе, спросите вы? А мне кажется, она просто хорошо смотрится...","Oh, yea, certainly! How needs a bull head on a balcony? That's your question, isn't it? Though, I think it's just looks good, that's all…"
S_GUITAR,"Что тут скажешь. Без музыки ничего из этого не имело бы смысла. Ни стиль, ни жертва, ни собственно вся проделанная работа.","What can I say. Without music non of this would have any sense. Neither style, neither sacrifice, neither all that work done."
S_GUITAR_MUSBOOKS_BEFOR,"Когда гитара стоит на виду, и нужно лишь протянуть руку, кажется, что играть будешь каждый день, но... Прямо сейчас не хочется.","You put guitar on a visible spot to reach it any time, thinking you would play it every day, and yet… Not right now."
S_GUITAR_MUSBOOKS_NOWATER,"Собственно, почему бы и не сыграть? Только вот, слушатели мучаются жаждой.","Actually, why not? I should play it. But beforehand, listeners are thirsty."
S_GUITAR_MUSBOOKS_AFTER_1,"Собственно... Здесь уютно.\nПусть моя работа никому не нужна, но здесь хотя бы приятно находиться. В конце концов, Я сделал всё хорошо - от сердца. Остался верен себе, и мне нечего стыдиться.","Actually… It's cozy.\nLet say my work has no use to anyone, still it's nice in here. After all, I made a fine piece, let the heart guide me. Stayed true to myself and got nothing to be ashamed of."
S_GUITAR_MUSBOOKS_AFTER_2,"Единственное, что мне действительно грозит, так это голодная смерть, но прежде... Прежде стоит поискать применение хорошо сделанной работе. Не слишком ли узко мы смотрим на мир, пытаясь угнаться за популярным мнением?","Death from starvation seems to be my only menace now, but still… To begin with, I should look for a use of this fine-made work. Aren't we narrowing down our sight by following only the popular opinion?"
S_GUITAR_WINDOW,"То есть? Выкинуть в окно? Как акт острого сожаления? Нет, как бы не трепала жизнь, должно оставаться хоть что-то святое.","You mean what? Just throw it though the window? As an act of sorrow? No, as cruel as life can be, there should remain things of some sacredness."
S_GUITAR_DRUMSTICK,"Да, ударные и электрогитара! Конечно, рок - это нечто большее, но всё же представить его без этих инструментов едва ли возможно.","Yes, drums and electric guitar! Rock itself is something even greater, of course, but one can hardly play it without those instruments."
S_GUITAR_COMMISSION,"[Со вздохом] Ну, да, будь это традиционный балкон, хранить тут гитару было бы приемлемо только с целью угробить её... Ну вот, потому и хорошо, что это не совсем балкон.","[With a sigh] Well, yea, keeping guitar on a common balcony would certainly bring it to it's death… So, then it is a good thing, that the balcony is not so common."
S_PICTURE,"Абстракция, минимализм. В доме должно быть что-то, что зацепить внимание и заставит задуматься.","Abstraction, minimalism. There always should be something eye catching inside you house, something to make you stop and think through your life."
S_MOSAIC,"Этот придурок заявил, что мозаика похожа на панцирь мёртвой черепахи! Как до такого вообще можно было додуматься?","This mosaic looks like dead turtle's shell, he said! What an idiot! How is it even possible to make such a conclusion?"
S_CUP_BEFOR,"Стакан воды, и тот наполовину пуст... Чем-то напоминает мои успехи.",Even a cup of simple water is half empty… Very mush like my accomplishments.
S_CUP_AFTER,В стакана есть вода... Так он наполовину пуст или наполовину полон?,"After all there is water in the cup… So, it's half empty or half full?"
S_LONEBOOK,"Отдельная книжка, то ли упавшая со столика, то ли оказавшаяся под ним намерено. Не особо интересная, видимо.","Single book accidentally fallen off the table, or maybe placed underneath it on purpose. Not so very interesting, it seems."
S_LONEBOOK_BOOKS,"Можно было бы сложить книги в одну стопку, но... и жанры разные, и как-то, слишком много порядка внезапно стало бы.","It could be a good idea to put books into one stack, but… genres are different and besides it would bring too much order all around."
S_BIOBOOKS,"Несколько томов биографий разных людей. Ну или не совсем ""разных"". Кое-что их всё-таки объединяет.","Few biography volume of a different persons. Well, not quite ""different"" in fact. There is something in common between them."
S_BIOBOOKS_BLOOD,"Да, его биография есть среди этих книг, но кто именно?","Yes, his biography is among those books, but who exactly?"
S_BIOBOOKS_PLANT,"Нет, ботаников в этих книгах нет.","No, there are no botanists in those books."
S_BIOBOOKS_BULL,"Кого же мне искать, охотника или мясника?","So, who should I look for? A hunter or a butcher?"
S_BIOBOOKS_GUITAR,"О да, конечно здесь есть музыканты, но гитара? Просто гитарист?","Ah yes, musicians are in here, but guitar? Simply a guitar player?"
S_BIOBOOKS_PICTURE,"Художник? Нет, не думаю...","Painter? No, I don't think so…"
S_BIOBOOKS_MUSBOOKS,"Да, музыканты, конечно музыканты, но нужна конкретика!","Yes, musicians, of course musicians, but we need something concrete!"
S_BIOBOOKS_DRUMSTICK,"Ударник? Да, музыканты тут, конечно, есть. Но нас интересует не ударник.","Drummer? Yes, musicians clearly are mentioned here, but that's no drummer we looking for."
S_BIOBOOKS_ROCK,"Именно! Не просто гитарист, но рок-музыкант! Естественно, здесь есть книга о нём. Разве могло быть иначе?","Precisely! Not a mere guitar player, but the rock-musician! Naturally there is a book about him in here. How couldn't it be?"
S_MUSBOOKS,"Музыкальная теория, композиция, нотные сборники. В основном для гитары, но и о музыке вообще.","Theory of music, composition, music scores. Mostly for guitar, but also about music overall."
S_MUSBOOKS_DRUMSTICK,"Сыграть на ударных не получится хотя бы только потому, что их тут нет. Но, думаю, соседи этому предельно рады.","You can't play the drums while they ain't here. Though neighbors, I presume, are quite happy with that."
S_MUSBOOKS_ROCK,"[Уверено] Конечно! Конечно, здесь есть произведения этого жанра.",[Reassured] Of course! Of course there are pieces of the genre.
S_MUSBOOKS_MUSICIAN,"И его музыка здесь, конечно же, есть!",And he's compositions are certainly here.
S_WINDOW_FIRST_1,"""Где окно-то?! Это, что ль, окно?! Ты же заложил всё окно кирпичами! Оглянись! Разве это балкон? Какой же это балкон?!""","""Where's da window?! Ya thinks this's window? You've crammed it all with bricks! Look around! Ya thinks it's deck? A bleeding balcony? Deck it is not!"""
S_WINDOW_FIRST_2,"[со вздохом] Да... это должен был быть балкон. Заказывали балкон. Сказали, что доверяют моему творческому чутью. Я сделал! В конкретном едином стиле, уютно, по-домашнему.","[with a sigh] Yea… It's supposed to be a balcony. A balcony was requested. They said, they trust in my artistic sense. So I've done it! In certain coherent style, cozy, homelike."
S_WINDOW_FIRST_3,Разве балкон не может быть жилой комнатой? Разве получилось плохо? Но... заказчику не понравилось. Он не принял работу и ничего не заплатил…,Why balcony can't be a dwelling room? Is it all that bad in general? Yet… customer wasn't satisfied. He hasn't accepted the commission and paid nothing…
S_WINDOW_NEXT,"Заказчик назвал это ""жалкими остатками окна"".","Customer called it ""puny leftovers of a window""."
S_DRUMSTICK,"Впихнуть сюда всю барабанную установку не получилось... Но, по правде говоря, и не нужно было. Для этого есть гараж.",It was too hard to fit in all the drum set… But probably I shouldn't have. That's what garage is for.
S_LAMP,"Представить только, как бы здесь было уютно читать вечерком под светом лампы...","Just imagine the evening, how cozy it would be to read a book in the lamp-light…"
S_CHANDELIER,"Вообще, потолочное освещение должно быть опциональным - слишком много мороки с проводкой, но я же и не настаивал!","In fact, ceiling lights should be optional - too much hassle with wiring. But yet again, I'd never insisted on it!"
S_CHANDELIER_COMMISSION,"[Раздражённо] Да понятно всё... если б тут было ""окно"" во всю стену, потолочный светильник был бы совершенно лишним.","[Annoyed] Ah, yes, yes, obvious it is… would need no ceiling lights, if we had wall-wide window in here."
S_COUCH,Ну хоть к этому предмету интерьера не было никаких претензий. Капелька комфорта нигде не повредит.,"Well, at least this piece of interior took no complains. A little bit of comfort would do no harm."
S_JALOUSIE,"Полезный предмет интерьера, особенно летом под палящим солнцем. Кстати, будь окно ""большего"" размера, с жалюзи возникли бы трудности.","Useful element of the interior design. Especially under summer burning sun. By the way, if there were a ""greater"" window, how inconvenient it would be with the jalousie!"
S_COMMISSION,"Заказывали балкон. Я сделал нечто большее, как мне казалось; но получилась никому ненужная фигня. А я, ведь, всего лишь хотел делать то, что мне нравится.","A balcony was requested. I made something greater, or so I thought. But as result we have completely useless rubbish... I simply wanted to do what I like to."
S_COMMISSION_BOOKS,"А вот и нет! Книгам здесь самое место, даже пусть это был бы традиционный балкон. Освящение хорошее, а сырости здесь всяко не было бы!","Ah no, not at all! Books has there well-deserved place in here. Even if it would be a common balcony. Enough light and no moisture would have been here anyways."
S_COMMISSION_IDEALIST_1,"Если то, что ты делаешь по своему желанию, в конце концов никому не нужно, то разве это не пустая трата сил? Бесцельная. Бессмыслица!","If those things, made with your own desire, inevitably becomes useless in the end, doesn't it means a waste of time? Aimless. Pointless!"
S_COMMISSION_IDEALIST_2,"Но с другой стороны... Делать то, что от тебя хотят, отказываться от своей мечты ради чужой; но жить без нужды и в признании. Долго ли ты проживёшь ""чужой"" счастливой жизнью?","But on the other hand… Doing thing they want you to do, discard your own dream to pursue someone other's, yet live with no hardship, with recognition. Would you live a ""happy life"" of a different man? And for how long would you do it?"
S_COMMISSION_IDEALIST_3,Так в чём же правильный ответ?\n\nМогу ли я иначе взглянуть на те же вещи?,"So, which answer is appropriate?\n\nCan I look at the same things from a different angle?"
S_ROCK,"Прекрасный жанр! Как звучание, так и идеи. Люди всю жизнь посвящали этой музыке.","Wonderful genre! The sound, so as ideas. People had devoted whole there lives to this music."
S_MUSICIAN,"Рок-музыкант, гитарист, вокалист, автор песен! Легенда, попросту.","Rock-musician, guitar player, vocalist and author! Legend, simple as it is."
S_IDEALIST,"Сначала он делал то, что ему нравилось, да; но затем он стал рабом ожиданий, предъявленных публикой. Деньги, слава - разве плохо? И чем всё это закончилось…","At the beginning he was doing what he wonted, yea; but with time he became slave to expectations of his fans. Money, fame - not so bad, isn't it? And how it all ended up…"
S_ERROR,ОШИБКА,ERROR
S_BLOOD_NAME,Пятно крови,Blood stain
S_PLANT_NAME,Цветочный горшок,Plant pot
S_BULL_NAME,Деревянная голова быка,Wooden bull head
S_GUITAR_NAME,Гитара,Guitar
S_PICTURE_NAME,Картина,Picture
S_MOSAIC_NAME,Мозаика,Mosaic
S_CUP_NAME,Стакан,Cup
S_LONEBOOK_NAME,Художественная книга,Fiction book
S_BIOBOOKS_NAME,Книги о людях,Biography books
S_MUSBOOKS_NAME,Книги о музыке,Music books
S_WINDOW_NAME,Окно,Window
S_DRUMSTICK_NAME,Барабанные палочки,Drumsticks
S_LAMP_NAME,Настольная лампа,Lamp
S_CHANDELIER_NAME,Светильник,Ceiling lamp
S_COUCH_NAME,Кресло,Couch
S_JALOUSIE_NAME,Жалюзи,Jalousie
S_DOOR_NAME,Дверь,Door
S_COMMISSION_NAME,Заказ на балкон,Balcony commission
S_ROCK_NAME,Рок-музыка,Rock-music
S_MUSICIAN_NAME,Музыкант,Musician
S_IDEALIST_NAME,Идеалист,Idealist
S_SPEAKER_PROTO,Автор,Author
S_SPEAKER_CUSTOMER,Заказчик,Customer
S_GAMENAME,Приключение одной картинки,One Picture Quest
S_MENU_BEGIN,Новая игра,New game
S_MENU_HOW,Как играть,How to play
S_MENU_CREDITS,Разработчики,Credits
S_MENU_QUIT,Выход,Quit
S_MENU_LANG,Язык,Language
S_HOW_TO," Эта игра в процессе разработки. Текущая версия первой главы содержит всё, что авторы хотели сказать по существу. Напрашиваются пока только косметические изменения в игровых механиках и интерфейсе. Ну, и ожидается появление следующих глав, конечно же.\n\n[center]Как играть[/center]\n Чтобы раскрыть тайну изображения, изучайте окружение. Нажмите правую кнопку мыши, наведя курсор на интересный вам предмет, чтобы осмотреть его. Нажмите левую кнопку мыши на предмете, чтобы взять его в руку, а затем на любой другой предмет, чтобы скомбинировать их. Эти правила также распространяются и на ""идеи"" персонажа, расположенные справа на манер инвентаря.\nВы можете перемещать персонажа по локации, используя клавиши WASD или ↑←↓→, но в текущей версии это имеет сугубо эстетическое значение."," This game is work in progress. Current version of first chapter holds all there is to say in substance. Only a cosmetic improvements are seems appropriate so far. Both in gameplay and interface. Well, subsequent chapters are also appropriate, naturally.\n\n[center]How to play[/center]\n To solve a mystery of the picture, you should explore surroundings. Press right mouse button on item, you interested in, to look at it. Press left mouse button on item to take it and then press again on different one to combine them. This is also true for an ""ideas"" character has. They are arranged to the right in inventory-like manner.\n You can move character around using WASD or ↑←↓→ keys, but in current version it has only aesthetical meaning."
S_CREDITS,"[center]Над игрой работали\n\nИдея, сюжет, код\nКотомару\n\nИдея, графика\nUncleDrugoon\n\nДополнительные материалы\nГрафика\nKenney (www.kenney.nl)\nAlexDreamer\n\nШрифты\nDenis Masharov (KellySlab)\nDaniel Johnson (TriodPostnaja)\n\nЗвук и музыка\nDarkworld Audio\nShapeforms Audio\nGoose Ninja[/center]\n\nWaiting by Ghostrifter Official\nhttps://soundcloud.com/ghostrifter-official\nMusic promoted by\nhttps://www.chosic.com/free-music/all/\nCreative Commons CC BY-SA 3.0\nhttps://creativecommons.org/licenses/by-sa/3.0/\n(In-game version was slightly cut in the beginning)\n\n[center]Сделано с помощью\n[img=200]res://img/godot.png[/img][/center]","[center]Credits\n\nIdea, story, code\nKotomaru\n\nIdea, art\nUncleDrugoon\n\nAdditional materials\nArt\nKenney (www.kenney.nl)\nAlexDreamer\n\nFonts\nDenis Masharov (KellySlab)\nDaniel Johnson (TriodPostnaja)\n\nSound and music\nDarkworld Audio\nShapeforms Audio\nGoose Ninja[/center]\n\nWaiting by Ghostrifter Official\nhttps://soundcloud.com/ghostrifter-official\nMusic promoted by\nhttps://www.chosic.com/free-music/all/\nCreative Commons CC BY-SA 3.0\nhttps://creativecommons.org/licenses/by-sa/3.0/\n(In-game version was slightly cut in the beginning)\n\n[center]Made with\n[img=200]res://img/godot.png[/img][/center]"
